"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\README.md", "Markdown", 0, 0, 0, 0, 68, 0, 0, 0, 0, 2, 29, 99
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\eslint.config.mjs", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 2, 36
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\package-lock.json", "JSON", 12089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12090
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\package.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260427164647_init_core\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 10, 57
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260427224315_onboarding_fields\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 10, 43
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260428170512\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260429150125\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 6, 35
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260430131749\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 6, 25
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260430224111\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260502190143_goals_tasks_intelligence_v3\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 6, 36
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260503202658_streak_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 11, 48
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260509205225_add_user_timezone\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 20, 21, 12, 53
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 225, 0, 39, 98, 362
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
